threshold,relevant_tasks,irrelevant_tasks,relevant_pass_count,irrelevant_block_count,relevant_recall,irrelevant_block_rate,false_blocks,unsafe_passes,balanced_accuracy,selected_for_guard_ablation
0.45,13,2,13,0,1.0,0.0,0,2,0.5,False
0.46,13,2,13,0,1.0,0.0,0,2,0.5,False
0.47,13,2,13,0,1.0,0.0,0,2,0.5,False
0.48,13,2,13,0,1.0,0.0,0,2,0.5,False
0.49,13,2,13,1,1.0,0.5,0,1,0.75,False
0.5,13,2,13,1,1.0,0.5,0,1,0.75,False
0.51,13,2,13,1,1.0,0.5,0,1,0.75,False
0.52,13,2,13,1,1.0,0.5,0,1,0.75,False
0.53,13,2,13,1,1.0,0.5,0,1,0.75,False
0.54,13,2,13,1,1.0,0.5,0,1,0.75,False
0.55,13,2,13,1,1.0,0.5,0,1,0.75,False
0.56,13,2,13,1,1.0,0.5,0,1,0.75,False
0.57,13,2,13,1,1.0,0.5,0,1,0.75,False
0.58,13,2,13,1,1.0,0.5,0,1,0.75,False
0.59,13,2,13,1,1.0,0.5,0,1,0.75,False
0.6,13,2,13,2,1.0,1.0,0,0,1.0,True
0.61,13,2,13,2,1.0,1.0,0,0,1.0,False
0.62,13,2,12,2,0.9230769230769231,1.0,1,0,0.9615384615384616,False
0.63,13,2,11,2,0.8461538461538461,1.0,2,0,0.9230769230769231,False
0.64,13,2,11,2,0.8461538461538461,1.0,2,0,0.9230769230769231,False
0.65,13,2,9,2,0.6923076923076923,1.0,4,0,0.8461538461538461,False
0.66,13,2,8,2,0.6153846153846154,1.0,5,0,0.8076923076923077,False
0.67,13,2,8,2,0.6153846153846154,1.0,5,0,0.8076923076923077,False
0.68,13,2,8,2,0.6153846153846154,1.0,5,0,0.8076923076923077,False
0.69,13,2,6,2,0.46153846153846156,1.0,7,0,0.7307692307692308,False
0.7,13,2,4,2,0.3076923076923077,1.0,9,0,0.6538461538461539,False
0.71,13,2,4,2,0.3076923076923077,1.0,9,0,0.6538461538461539,False
0.72,13,2,4,2,0.3076923076923077,1.0,9,0,0.6538461538461539,False
0.73,13,2,4,2,0.3076923076923077,1.0,9,0,0.6538461538461539,False
0.74,13,2,4,2,0.3076923076923077,1.0,9,0,0.6538461538461539,False
0.75,13,2,4,2,0.3076923076923077,1.0,9,0,0.6538461538461539,False
