tool_name,status,source_risk,connector_risk,source_parameter_count_raw,source_parameter_count_client_visible,connector_parameter_count,hidden_source_parameters,source_only_client_parameters,connector_only_parameters,requiredness_drift,default_drift,schema_constraint_drift,risk_drift
analyze_contributions,shared_no_client_surface_drift,read_only,read_only,6,5,5,connection,,,,,,
calculate_impacts,shared_no_client_surface_drift,read_only_stateful_compute,read_only_stateful_compute,6,5,5,connection,,,,,,
check_result_consistency,source_only,read_only,,4,3,0,connection,abs_tol;rel_tol;result_id,,,,,
compare_systems,shared_no_client_surface_drift,read_only,read_only,6,5,5,connection,,,,,,
create_process,shared_interface_drift,database_write,database_write,4,3,3,connection,,,,description:source=''; connector=unspecified,"exchanges:source={""items"":{""additionalProperties"":false,""description"":""Validated exchange payload for process creation."",""properties"":{""amount"":{""type"":""number""},""flow_id"":{""type"":""string""},""flow_property_id"":{""type"":""string""},""formula"":{""type"":""string""},""is_input"":{""type"":""boolean""},""is_quantitative_reference"":{""type"":""boolean""},""provider_id"":{""type"":""string""},""unit_id"":{""type"":""string""}},""required"":[""flow_id"",""amount"",""is_input""],""type"":""object""},""type"":""array""};connector={""items"":{""properties"":{""amount"":{""type"":""number""},""flow_id"":{""type"":""string""},""is_input"":{""type"":""boolean""},""is_quantitative_reference"":{""type"":""boolean""},""provider_id"":{""type"":""string""}},""required"":[""flow_id"",""amount"",""is_input""],""type"":""object""},""type"":""array""}",
create_product_flow,shared_interface_drift,database_write,database_write,3,2,2,connection,,,,description:source=''; connector=unspecified,,
create_product_system,shared_interface_drift,database_write,database_write,6,5,2,connection,cutoff;default_providers;preferred_type,,,,,
dispose_all_results,shared_no_client_surface_drift,result_store_cleanup,result_store_cleanup,0,0,0,,,,,,,
dispose_result,shared_no_client_surface_drift,result_store_cleanup,result_store_cleanup,1,1,1,,,,,,,
export_results,shared_interface_drift,file_write,file_write,6,5,5,connection,,,,,"data:source={""additionalProperties"":true,""type"":""object""};connector={""type"":""object""}",
find_providers,shared_no_client_surface_drift,read_only,read_only,3,2,2,connection,,,,,,
get_contribution_tree,shared_no_client_surface_drift,read_only,read_only,5,4,4,connection,,,,,,
get_entity_by_name,shared_no_client_surface_drift,read_only,read_only,3,2,2,connection,,,,,,
get_inventory_results,shared_no_client_surface_drift,read_only,read_only,3,2,2,connection,,,,,,
get_normalized_impacts,shared_no_client_surface_drift,read_only,read_only,2,1,1,connection,,,,,,
get_sankey,shared_no_client_surface_drift,read_only,read_only,5,4,4,connection,,,,,,
get_total_requirements,shared_no_client_surface_drift,read_only,read_only,2,1,1,connection,,,,,,
get_weighted_impacts,shared_no_client_surface_drift,read_only,read_only,2,1,1,connection,,,,,,
health_check,shared_no_client_surface_drift,read_only,read_only,2,1,1,connection,,,,,,
run_monte_carlo,shared_no_client_surface_drift,read_only_stateful_compute,read_only_stateful_compute,5,4,4,connection,,,,,,
run_scenario_analysis,shared_no_client_surface_drift,read_only_stateful_compute,read_only_stateful_compute,6,5,5,connection,,,,,,
search_flows,shared_no_client_surface_drift,read_only,read_only,4,3,3,connection,,,,,,
search_impact_methods,shared_no_client_surface_drift,read_only,read_only,2,1,1,connection,,,,,,
search_processes,shared_no_client_surface_drift,read_only,read_only,3,2,2,connection,,,,,,
test_connection,shared_no_client_surface_drift,read_only,read_only,1,0,0,connection,,,,,,
