tool_name,change,before_status,after_status,before_schema_drift,after_schema_drift,before_source_only_parameters,after_source_only_parameters
analyze_contributions,resolved,shared_interface_drift,shared_no_client_surface_drift,"contribution_type:source={""type"":""string""};connector={""enum"":[""process"",""flow""],""type"":""string""}",,,
calculate_impacts,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
check_result_consistency,remaining,source_only,source_only,,,abs_tol;rel_tol;result_id,abs_tol;rel_tol;result_id
compare_systems,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
create_process,remaining,shared_interface_drift,shared_interface_drift,"exchanges:source={""items"":{""additionalProperties"":true,""type"":""object""},""type"":""array""};connector={""items"":{""properties"":{""amount"":{""type"":""number""},""flow_id"":{""type"":""string""},""is_input"":{""type"":""boolean""},""is_quantitative_reference"":{""type"":""boolean""},""provider_id"":{""type"":""string""}},""required"":[""flow_id"",""amount"",""is_input""],""type"":""object""},""type"":""array""}","exchanges:source={""items"":{""additionalProperties"":false,""description"":""Validated exchange payload for process creation."",""properties"":{""amount"":{""type"":""number""},""flow_id"":{""type"":""string""},""flow_property_id"":{""type"":""string""},""formula"":{""type"":""string""},""is_input"":{""type"":""boolean""},""is_quantitative_reference"":{""type"":""boolean""},""provider_id"":{""type"":""string""},""unit_id"":{""type"":""string""}},""required"":[""flow_id"",""amount"",""is_input""],""type"":""object""},""type"":""array""};connector={""items"":{""properties"":{""amount"":{""type"":""number""},""flow_id"":{""type"":""string""},""is_input"":{""type"":""boolean""},""is_quantitative_reference"":{""type"":""boolean""},""provider_id"":{""type"":""string""}},""required"":[""flow_id"",""amount"",""is_input""],""type"":""object""},""type"":""array""}",,
create_product_flow,remaining,shared_interface_drift,shared_interface_drift,,,,
create_product_system,remaining,shared_interface_drift,shared_interface_drift,,,cutoff;default_providers;preferred_type,cutoff;default_providers;preferred_type
dispose_all_results,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
dispose_result,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
export_results,remaining,shared_interface_drift,shared_interface_drift,"data:source={""additionalProperties"":true,""type"":""object""};connector={""type"":""object""} | format:source={""type"":""string""};connector={""enum"":[""csv"",""excel""],""type"":""string""} | kind:source={""type"":""string""};connector={""enum"":[""impacts"",""comparison""],""type"":""string""}","data:source={""additionalProperties"":true,""type"":""object""};connector={""type"":""object""}",,
find_providers,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
get_contribution_tree,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
get_entity_by_name,resolved,shared_interface_drift,shared_no_client_surface_drift,"model_type:source={""type"":""string""};connector={""enum"":[""Flow"",""Process"",""ImpactMethod"",""ProductSystem"",""FlowProperty"",""Unit""],""type"":""string""}",,,
get_inventory_results,resolved,shared_interface_drift,shared_no_client_surface_drift,"direction:source={""type"":""string""};connector={""enum"":[""input"",""output"",""both""],""type"":""string""}",,,
get_normalized_impacts,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
get_sankey,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
get_total_requirements,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
get_weighted_impacts,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
health_check,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
run_monte_carlo,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
run_scenario_analysis,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
search_flows,resolved,shared_interface_drift,shared_no_client_surface_drift,"flow_type:source={""type"":""string""};connector={""enum"":[""PRODUCT_FLOW"",""ELEMENTARY_FLOW"",""WASTE_FLOW""],""type"":""string""}",,,
search_impact_methods,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
search_processes,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
test_connection,unchanged_no_drift,shared_no_client_surface_drift,shared_no_client_surface_drift,,,,
