experiment_id,model,surface,seed,temperature,scored_tasks,infrastructure_failures,behavior_accuracy,sequence_exact_accuracy,tool_selection_accuracy,required_argument_recall,argument_precision,safe_no_call_accuracy,false_tool_call_rate,mean_latency_seconds
openlca-schema-before-qwen2p5-coder-1p5b-seed101,qwen2.5-coder:1.5b,before,101,0.2,20,0,0.1,0.1,0.35,0.4166666666666667,0.23833333333333334,0.5,0.1,2.8241665100002136
openlca-schema-after-qwen2p5-coder-1p5b-seed101,qwen2.5-coder:1.5b,after,101,0.2,20,0,0.1,0.15,0.3,0.405,0.27166666666666667,0.5,0.1,2.760387309999351
openlca-schema-before-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,before,202,0.2,20,0,0.1,0.05,0.35,0.47023809523809523,0.21666666666666667,0.0,0.2,3.9099440500005587
openlca-schema-after-qwen2p5-coder-1p5b-seed202,qwen2.5-coder:1.5b,after,202,0.2,20,0,0.1,0.0,0.2833333333333333,0.4002380952380952,0.1613095238095238,0.0,0.2,3.7113477450002392
openlca-schema-before-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,before,303,0.2,20,0,0.1,0.05,0.3333333333333333,0.47023809523809523,0.22214285714285714,0.0,0.2,3.7403031699996063
openlca-schema-after-qwen2p5-coder-1p5b-seed303,qwen2.5-coder:1.5b,after,303,0.2,20,0,0.15,0.05,0.31666666666666665,0.4502380952380952,0.23583333333333334,0.0,0.2,4.130314295000426
openlca-schema-before-gemma3-4b-seed101,gemma3:4b,before,101,0.2,20,0,0.3,0.1,0.5333333333333333,0.5552380952380952,0.31916666666666665,0.0,0.2,2.5292242250001435
openlca-schema-after-gemma3-4b-seed101,gemma3:4b,after,101,0.2,20,0,0.35,0.2,0.6,0.6373809523809524,0.39694444444444443,0.0,0.2,2.24841858999971
openlca-schema-before-gemma3-4b-seed202,gemma3:4b,before,202,0.2,20,0,0.3,0.1,0.5333333333333333,0.5552380952380952,0.31916666666666665,0.0,0.2,2.5349247449998074
openlca-schema-after-gemma3-4b-seed202,gemma3:4b,after,202,0.2,20,0,0.35,0.2,0.6,0.6373809523809524,0.39694444444444443,0.0,0.2,2.4245227299983525
openlca-schema-before-gemma3-4b-seed303,gemma3:4b,before,303,0.2,20,0,0.35,0.1,0.5333333333333333,0.5552380952380952,0.32916666666666666,0.0,0.2,2.5939108150010726
openlca-schema-after-gemma3-4b-seed303,gemma3:4b,after,303,0.2,20,0,0.35,0.2,0.6,0.6373809523809524,0.39694444444444443,0.0,0.2,2.4192115549994924
openlca-schema-before-qwen3-8b-seed101,qwen3:8b,before,101,0.2,20,0,0.8,0.5,0.8,0.7569047619047619,0.6883333333333334,0.5,0.1,2.819955459999619
openlca-schema-after-qwen3-8b-seed101,qwen3:8b,after,101,0.2,20,0,0.8,0.6,0.8,0.7985714285714286,0.7133333333333334,0.5,0.1,2.6252755050005363
openlca-schema-before-qwen3-8b-seed202,qwen3:8b,before,202,0.2,20,0,0.75,0.45,0.75,0.7069047619047619,0.6383333333333333,0.5,0.1,2.869087345000662
openlca-schema-after-qwen3-8b-seed202,qwen3:8b,after,202,0.2,20,0,0.8,0.6,0.8,0.7985714285714286,0.7133333333333334,0.5,0.1,2.599309240000366
openlca-schema-before-qwen3-8b-seed303,qwen3:8b,before,303,0.2,20,0,0.8,0.5,0.8,0.7569047619047619,0.6883333333333334,0.5,0.1,2.887181934999899
openlca-schema-after-qwen3-8b-seed303,qwen3:8b,after,303,0.2,20,0,0.8,0.6,0.8,0.7985714285714286,0.7133333333333334,0.5,0.1,2.632203934998688
