model,group,task_seed_pairs,before_exact_accuracy,after_exact_accuracy,replay_exact_accuracy,schema_delta,replay_delta,replay_adjusted_delta,before_replay_exact_status_agreement,before_replay_full_result_identity,before_replay_behavior_identity,before_replay_calls_identity,schema_improvements,schema_regressions,schema_stable_exact,schema_stable_incorrect,schema_net_transition,replay_improvements,replay_regressions,replay_stable_exact,replay_stable_incorrect,replay_net_transition
qwen2.5-coder:1.5b,all,60,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,1.0,0.95,1.0,1.0,2,2,2,54,0,0,0,4,56,0
qwen2.5-coder:1.5b,expected_tool_changed,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,18,0,0,0,0,18,0
qwen2.5-coder:1.5b,distractor_only_changed,27,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,2,2,21,0,0,0,4,23,0
qwen2.5-coder:1.5b,schema_identical,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,1.0,0,0,0,15,0,0,0,0,15,0
gemma3:4b,all,60,0.1,0.2,0.13333333333333333,0.1,0.033333333333333326,0.06666666666666668,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,6,0,6,48,6,2,0,6,52,2
gemma3:4b,expected_tool_changed,18,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,1.0,1.0,1.0,1.0,3,0,0,15,3,0,0,0,18,0
gemma3:4b,distractor_only_changed,27,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,3,24,0,0,0,3,24,0
gemma3:4b,schema_identical,15,0.2,0.4,0.3333333333333333,0.2,0.1333333333333333,0.06666666666666671,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,3,0,3,9,3,2,0,3,10,2
qwen3:8b,all,60,0.48333333333333334,0.6,0.5,0.11666666666666664,0.016666666666666663,0.09999999999999998,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,7,0,29,24,7,1,0,29,30,1
qwen3:8b,expected_tool_changed,18,0.16666666666666666,0.5,0.16666666666666666,0.33333333333333337,0.0,0.33333333333333337,1.0,1.0,1.0,1.0,6,0,3,9,6,0,0,3,15,0
qwen3:8b,distractor_only_changed,27,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,21,6,0,0,0,21,6,0
qwen3:8b,schema_identical,15,0.3333333333333333,0.4,0.4,0.06666666666666671,0.06666666666666671,0.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1,0,5,9,1,1,0,5,9,1
